5.07,008.18247614,-63.03137868,5.126,5.075,0.038,0.05
4.17,008.24994391,+62.93178781,4.301,4.198,0.130,0.17
5.93,008.29301467,+54.89508062,7.252,6.039,1.037,1.01
5.55,008.42108802,-29.55820696,7.182,5.688,1.262,1.23
5.57,008.61506261,-52.37318294,6.128,5.625,0.472,0.55
5.94,008.88645754,-00.50545908,6.462,5.991,0.444,0.51
5.51,008.92139531,-48.00066027,6.040,5.564,0.461,0.53
5.08,009.03453140,+54.16845384,4.952,5.065,-0.098,-.08
5.78,009.11392475,+60.32621728,6.120,5.828,0.294,0.43
5.14,009.19362920,+44.48850971,7.248,5.336,1.587,1.61
5.89,009.19713232,+15.23175994,5.686,5.849,-0.146,-.14
4.34,009.22016239,+33.71935227,4.191,4.323,-0.123,-.08
3.69,009.24277921,+53.89693161,3.431,3.647,-0.196,-.23
5.57,009.33244613,-24.76722545,6.489,5.677,0.715,0.78
5.45,009.33844167,+35.39951013,6.552,5.531,0.886,0.82
4.34,009.63958024,+29.31236900,5.439,4.447,0.871,0.92
5.45,009.79119583,+49.35459528,7.614,5.629,1.644,1.65
3.27,009.83165567,+30.86122579,4.945,3.419,1.268,1.23
6.00,009.96631161,-44.79633326,7.465,6.126,1.142,1.06
5.36,009.98147468,+21.43856440,6.734,5.487,1.160,1.12
5.89,010.10273354,-59.45568115,6.571,5.960,0.564,0.65
2.24,010.12661349,+56.53740928,3.768,2.377,1.170,1.13
5.90,010.17658814,-04.35180551,7.286,6.019,1.091,1.04
5.30,010.27998074,+39.45867141,6.430,5.408,0.891,0.91
4.59,010.33156671,-46.08500934,5.825,4.707,0.953,0.95
5.72,010.44292464,-56.50145475,5.965,5.730,0.131,0.15
5.83,010.51431560,+66.14761311,7.158,5.939,1.042,1.01
4.80,010.51618425,+50.51254151,4.648,4.785,-0.105,-.10
5.38,010.61790472,-65.46813002,5.984,5.442,0.515,0.59
5.99,010.67349903,-60.26268184,7.705,6.138,1.318,1.25
4.36,010.83851683,-57.46309763,4.361,4.365,0.024,0.02
4.95,010.86704470,+47.02463657,5.169,4.976,0.170,0.19
2.04,010.89678452,-17.98668410,3.362,2.159,1.019,1.00
4.77,011.04752272,-10.60927365,6.066,4.882,0.998,0.98
5.90,011.04964742,-38.42197898,7.401,6.032,1.144,1.07
5.66,011.10927611,+47.86396300,5.502,5.634,-0.113,-.10
4.48,011.18125882,+48.28438262,4.419,4.472,-0.069,0.00
5.22,011.18515547,-22.00633247,5.620,5.262,0.350,0.42
5.94,011.23801546,-42.67632489,6.279,5.968,0.297,0.34
5.41,011.32168124,+55.22140870,5.440,5.416,0.022,0.04
5.64,011.41296370,+74.98812620,5.739,5.660,0.078,0.09
5.80,011.43930832,-47.55217573,6.572,5.867,0.635,0.72
5.49,011.54845521,-22.52206718,6.737,5.609,0.978,0.97
5.36,011.63740001,+15.47561194,7.429,5.593,1.559,2.49
5.51,011.75594336,+11.97393464,6.767,5.618,0.987,0.93
4.08,011.83495908,+24.26737703,5.510,4.216,1.100,1.06
5.98,011.84843074,+06.74098135,7.177,6.083,0.941,0.92
5.70,011.93000731,-18.06142264,7.395,5.846,1.300,1.23
5.42,011.94174879,+74.84758739,5.333,5.410,-0.066,-.04
